"","feed"
"1","http://101.datascience.community/feed/"
"2","http://2engenheiros.com/feed/"
"3","http://abandonedfootnotes.blogspot.com/feeds/posts/default?alt=rss"
"4","http://abigailsee.com/feed.xml"
"5","http://adamdennett.co.uk/feed/"
"6","https://adamgoodkind.com/feed.xml"
"7","http://adamleerich.com/feed.xml"
"8","http://adomingues.github.io/feed.xml"
"9","http://adventuresindata.blogspot.com/feeds/posts/default"
"10","http://aebou.rbind.io/index.xml"
"11","http://aestheticdata.eu/feed/"
"12","http://afflorezr.blogspot.com/feeds/posts/default"
"13","http://ageconomist.blogspot.com/feeds/posts/default"
"14","http://akosm.netlify.com/index.xml"
"15","http://alburez.me/feed.xml"
"16","http://alexchamessian.com/feed/"
"17","http://alexejgossmann.com/feed.xml"
"18","http://alexmorley.me/feed.xml"
"19","https://alexwhan.com/index.xml"
"20","http://alittlestats.blogspot.com/feeds/posts/default"
"21","https://www.allendowney.com/blog/feed/"
"22","http://allthingsdatascience.blogspot.com/feeds/posts/default"
"23","http://allthingsr.blogspot.com/feeds/posts/default?alt=rss"
"24","http://allthiswasfield.blogspot.com/feeds/posts/default?alt=rss"
"25","http://almostrandom.netlify.com/index.xml"
"26","http://altran-data-analytics.netlify.com/index.xml"
"27","http://amironov.de/feed/"
"28","http://amirsariaslan.com/feed"
"29","https://www.amitkohli.com/index.xml"
"30","http://amyszczepanski.com/feed.xml"
"31","http://andrewgelman.com/feed/"
"32","http://andysouth.github.io/feed.xml"
"33","http://animove.org/feed/"
"34","http://annakrystalli.me/index.xml"
"35","http://annamarbut.blogspot.com/feeds/posts/default"
"36","http://annarborrusergroup.github.io/feed.xml"
"37","http://anotherblogaboutr.blogspot.com/feeds/posts/default?alt=rss"
"38","http://www.marekrei.com/blog/feed/"
"39","https://www.ardata.fr/index.xml"
"40","http://arinti.ai/feed/atom/"
"41","http://arnab.org/blog/atom.xml"
"42","http://arunatma.blogspot.com/feeds/posts/default?alt=rss"
"43","http://ashiklom.github.io/feed.xml"
"44","http://aurielfournier.github.io/feed.xml"
"45","http://austinwehrwein.com/index.xml"
"46","http://avianecologist.com/feed/"
"47","http://ayanalytics.com/feed/"
"48","http://badhessian.org/feed/"
"49","http://barry.rowlingson.com/blog/atom.xml"
"50","http://bayesball.blogspot.com/feeds/posts/default"
"51","http://bayesfactor.blogspot.com/feeds/posts/default?alt=rss"
"52","http://bc.bojanorama.pl/feed/"
"53","http://bconnelly.net/index.xml"
"54","http://benavent.fr/feed/"
"55","http://benedict-witzenberger.de/wordpress/feed/"
"56","https://www.benjaminackerman.com/index.xml"
"57","http://beyondvalence.blogspot.com/feeds/posts/default"
"58","http://bien.nceas.ucsb.edu/bien/feed/"
"59","http://big-data-fr.com/feed/"
"60","http://bigcomputing.blogspot.com/feeds/posts/default"
"61","https://billpetti.github.io/feed.xml"
"62","https://billyfung.com/feed/feed.xml"
"63","http://bio7.org/feed/"
"64","http://biostatmatt.com/feed"
"65","http://blog.allocateanalytics.com/feed/"
"66","http://blog.brooke.science/index.xml"
"67","http://blog.cloudera.com/feed/"
"68","http://blog.corynissen.com/feeds/posts/default?alt=rss"
"69","http://blog.data-miners.com/feeds/posts/default?alt=rss"
"70","http://blog.dataembassy.co.nz//feed.xml"
"71","http://blog.entropic-data.com/feed/"
"72","http://blog.excelstrategiesllc.com/feed/"
"73","http://blog.felixriedel.com/feed/"
"74","http://blog.fellstat.com/?feed=rss2"
"75","http://blog.fosstrading.com/feeds/posts/default?alt=rss"
"76","http://blog.gravatar.com/feed/"
"77","http://blog.haunschmid.name/feed/"
"78","http://blog.infosecanalytics.com/feeds/posts/default"
"79","http://blog.janmulkens.be/feed/"
"80","http://blog.jumpingrivers.com/index.xml"
"81","https://medium.com/feed/kaggle-blog"
"82","http://blog.kahutrading.com/feeds/posts/default?alt=rss"
"83","http://blog.mindymallory.com/feed/"
"84","http://blog.mjskay.com/index.xml"
"85","http://blog.natbat.net/rss"
"86","http://blog.nextbiomotif.com/feeds/posts/default?alt=rss"
"87","http://blog.nguyenvq.com/feed/"
"88","http://blog.nycep.org/feed"
"89","http://blog.opencagedata.com/feed.xml"
"90","http://blog.phytools.org/feeds/posts/default?alt=rss"
"91","http://blog.points-of-interest.cc/rss"
"92","http://blog.revolutionanalytics.com/atom.xml"
"93","http://blog.riskpredictions.com/index.xml"
"94","http://blog.rstudio.com/index.xml"
"95","http://blog.sellorm.com/index.xml"
"96","http://blog.shakirm.com/feed/"
"97","http://blog.suiji.org/feed/atom"
"98","https://blog.tafkas.net/index.xml"
"99","http://blog.uclm.es/emiliolcano/feed/"
"100","https://community.alteryx.com/pvsmt99345/rss/board?board.id=Data-Science-Blog"
"101","http://blogger.ghostweather.com/feeds/posts/default?alt=rss"
"102","http://blogs.lshtm.ac.uk/opendatakit/feed/"
"103","http://blogs.oregonstate.edu/gardenecologylab/feed/"
"104","http://blogs.reading.ac.uk/tprg/feed/"
"105","http://blogs.reed.edu/ed-tech/feed/"
"106","http://bluewhalenews.org/feed/"
"107","http://boazsobrado.com/index.xml"
"108","http://book.ecosens.org/feed/"
"109","http://bow.web.id/feed/atom.xml"
"110","https://medium.com/feed/@boyanangelov"
"111","http://bradeck.net/feed/"
"112","http://brainchronicle.blogspot.com/feeds/posts/default?alt=rss"
"113","http://brandonlebeau.org/index.xml"
"114","https://www.brodieg.com/index.xml"
"115","http://brodrigues.co/index.xml"
"116","http://brooksandrew.github.io/feed.xml"
"117","http://brunalab.org/feed/"
"118","http://burns-stat.com/feed/"
"119","http://business-science.io/atom.xml"
"120","http://byrneslab.net/feed/"
"121","http://caa-international.org/feed/"
"122","http://caioproiete.net/feed.xml"
"123","http://candrea.ch/blog/feed/"
"124","http://carterrees.netlify.com/index.xml"
"125","https://cecilialee.github.io/atom.xml"
"126","http://ceedubvoss.com/feed/atom/"
"127","http://chaibapchya.github.io/feed.xml"
"128","http://chainsawriot.com/feed.xml"
"129","https://chartsoncharts.com/index.xml"
"130","http://chem.sites.mtu.edu/mazzoleni/index.php/feed/"
"131","https://chendaniely.github.io/index.xml"
"132","http://chrisbeeley.net/?feed=rss2"
"133","http://christopherroach.com/feeds/all.atom.xml"
"134","http://chrisvoncsefalvay.com/feed/"
"135","http://clairemcwhite.github.io/feed.xml"
"136","http://clarkfitzg.github.io/feed.xml"
"137","http://clarkrichards.org/atom.xml"
"138","http://cmdlinetips.com/feed/"
"139","http://code.markedmondson.me/index.xml"
"140","http://codingpad.maryspad.com/feed/"
"141","http://colinfay.me/feed.xml"
"142","http://conjugateprior.org/feed/"
"143","https://divingintogeneticsandgenomics.rbind.io/index.xml"
"144","http://crystalprisonzone.blogspot.com/feeds/posts/default?alt=rss"
"145","http://ctlente.com/index.xml"
"146","http://cuhackyhour.github.io//feed.xml"
"147","http://culturaanalitica.com.br/feed/"
"148","http://d-rug.github.io/feed.xml"
"149","http://d.hatena.ne.jp/bob3/rss"
"150","http://d4t4v1z.com/feed/"
"151","http://dacta.fr/feed.xml"
"152","http://danawanzer.com/feed/"
"153","http://danielbachler.de/feed.xml"
"154","http://danielfalster.com/atom.xml"
"155","http://danielmarcelino.github.io/index.xml"
"156","https://www.danielphadley.com/index.xml"
"157","http://danielswindlehurst.com/feed/"
"158","http://dannyjnwong.github.io/feed.xml"
"159","http://darrinlrogers.com/feed/"
"160","http://dart.ed.ac.uk/feed/"
"161","http://darthworkgroup.com/feed/"
"162","http://dasonk.com/atom.xml"
"163","http://data-bzh.fr/feed/"
"164","http://data-se.netlify.com/index.xml"
"165","http://data-steve.github.io/feed.xml"
"166","http://data7.blog/feed/"
"167","http://dataanalysisclassroom.com/feed/"
"168","http://dataaspirant.com/feed/"
"169","http://databall.co/index.xml"
"170","http://databoutique.cz/rss"
"171","http://datacolada.org/feed"
"172","http://datadaytexas.com/rss.xml"
"173","http://datafeedtoolbox.com/feed/"
"174","http://datafying.com.au/feed/"
"175","http://datagenetics.com/feed/rss.xml"
"176","http://datagistips.hypotheses.org/feed"
"177","http://dataidol.com/feed/"
"178","http://datalabtr.com/index.php/feed/"
"179","http://datameetsmedia.com/feed/"
"180","http://datasciencefestival.com/feed/"
"181","http://datascientist.co/feed/"
"182","http://datavoreconsulting.com/feed/"
"183","http://datawrangl.com/atom.xml"
"184","http://datumorphism.com/feed.xml"
"185","http://davegiles.blogspot.com/feeds/posts/default?alt=rss"
"186","http://davemcg.github.io/index.xml"
"187","https://david.frigge.nz/index.xml"
"188","http://davidhughjones.blogspot.com/feeds/posts/default"
"189","http://dbarneche.github.io/index.xml"
"190","http://delferts.github.io/feed.xml"
"191","http://demogr.mpg.de/en/press_news.rss"
"192","http://desertislesql.com/wordpress1/?feed=rss2"
"193","http://dexterlocke.com/feed/"
"194","http://dhmontgomery.com/feed.xml"
"195","http://dirk.eddelbuettel.com/blog/index.rss"
"196","http://djnavarro.net/index.xml"
"197","http://dm13450.github.io/feed.xml"
"198","http://doingbayesiandataanalysis.blogspot.com/feeds/posts/default?alt=rss"
"199","http://donalphipps.co.uk/index.xml"
"200","http://drgmcooke.co.uk/index.php/feed/"
"201","http://drmowinckels.io/index.xml"
"202","http://drsimonj.svbtle.com/feed"
"203","http://dsnotes.com/index.xml"
"204","https://www.dsquintana.com/index.xml"
"205","http://dsup.org/blog/index.xml"
"206","http://durraniu.netlify.com/index.xml"
"207","http://dwsankey.wixsite.com/collectiveecology/feed.xml"
"208","http://dxbydt.com/feed/"
"209","http://eaheisman.blogspot.com/feeds/posts/default?alt=rss"
"210","http://eamoncaddigan.net/feed.xml"
"211","http://ecoinfaeet.github.io/atom.xml"
"212","http://economicscience.net/index.xml"
"213","http://edild.github.io/feed.xml"
"214","http://edinbr.org/feed.xml"
"215","http://eiko-fried.com/feed/"
"216","http://elcep.legtux.org/?feed=rss2"
"217","http://elijahmeeks.com/rss.xml"
"218","http://elinwaring.org/index.php?format=feed&type=rss"
"219","http://ellisp.github.io/feed.xml"
"220","http://ellisvalentiner.com/index.xml"
"221","http://emmavestesson.netlify.com/index.xml"
"222","http://endangereddataweek.org/feed.xml"
"223","http://enhancedatascience.com/feed/"
"224","http://enpiar.com/index.xml"
"225","http://enrico.spinielli.net/index.xml"
"226","http://environmentalcomputing.net/feed/atom/"
"227","http://epistasis.org/feed/"
"228","http://equastat.com/feed/"
"229","http://equastat.com/feed/atom/"
"230","http://ericrscott.com/index.xml"
"231","http://ericrscott.netlify.com/index.xml"
"232","http://eringrand.github.io/feed.xml"
"233","http://ernestoramirez.com/index.xml"
"234","http://erre-que-erre-paco.blogspot.com/feeds/posts/default?alt=rss"
"235","http://erre-que-erre-paco.blogspot.ie/feeds/posts/default?alt=rss"
"236","http://etachov.io/feed.xml"
"237","http://evanrushton.blogspot.com/feeds/posts/default?alt=rss"
"238","http://evo-eco.org/feed/"
"239","http://ewen.corre.bio/index.xml"
"240","http://fabianp.net/feed/"
